素材id,消耗,平均千次展现费用(元),点击率(%),3秒播放率,25%进度播放率,视频形式_剧情,视频形式_剧情+混剪,视频形式_口播,视频形式_口播+混剪,"视频形式_口播,采访",视频形式_采访,视频形式_鬼畜（猫狗、RAP、跳舞等）,是否真人出镜_否,是否真人出镜_是,性别_N男N女,性别_女,性别_无,性别_男,人物形象_休闲装,人物形象_商务装,bgm类型_明快,bgm类型_激昂,bgm类型_电子音乐（节奏感）,bgm类型_紧张,bgm类型_舒缓,场景_休息区（沙发、矮桌）,场景_办公区,场景_办公楼下,场景_商场,场景_居家（客厅、厨房、卧室）,场景_绿幕,场景_老板办公室（办公桌、电脑）,场景_茶室,场景_街景,场景_走廊,绿幕置景_K线,绿幕置景_其他,绿幕置景_无,道具_书本,道具_其他,道具_无,道具_玩偶,道具_笔记本,道具_花,道具_茶杯,是否带前贴_否,是否带前贴_是,前贴形式_商业楼宇,前贴形式_红底花字无特效,前贴形式_红底花字蹦跳元素,前贴形式_股市相关（K线、金钱）,前贴形式_黑底花字无特效,前贴形式_黑底花字蹦跳元素,前贴音效_女声配音,前贴音效_男声配音,前贴音效_真人女声,前贴音效_真人男声,前贴BGM_抖音热歌,前贴BGM_无BGM,前贴BGM_简单旋律,前贴BGM_音效,前3s演员演绎方式_唱歌,前3s演员演绎方式_夸张提问,前3s演员演绎方式_无,前3s演员演绎方式_正式口播,片尾链路_企微,片尾链路_开户,片尾链路_通用,片尾引导方式_其他,片尾引导方式_开户便捷、快、线上,片尾引导方式_开户有优惠、服务好,片尾引导方式_心灵鸡汤,片尾引导方式_紧迫感引导,片尾引导方式_紧迫感话术,片尾画面_APP图标,片尾画面_开户界面,片尾画面_真人口播画面
7226557365250709504,46811.35,94.69,2.06,58.41,51.74,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True
7226909811329429504,32576.32,199.29,1.31,28.47,18.41,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False
7257355859137980416,29033.09,41.25,0.4,19.84,11.9,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False
7260325307524299776,17661.45,114.75,1.11,17.22,13.07,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,True,False
7246686040210709504,12042.71,78.64,1.32,35.27,28.41,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True
7246686051065900032,10143.85,224.97,1.63,24.28,14.24,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True
7239931977084010496,8311.58,205.75,3.17,16.71,17.17,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True
7226558167986889728,7173.06,107.72,1.52,37.36,30.21,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True
7226557363464500224,6986.26,68.11,3.65,84.44,81.51,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True
7250041016483999744,6967.43,372.57,3.97,26.92,24.66,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True
